date,benchmark,series_id,source,description,oil_price_usd
2018-05-01,wti,DCOILWTICO,FRED,WTI Crude Oil,67.28
2018-05-02,wti,DCOILWTICO,FRED,WTI Crude Oil,67.91
2018-05-03,wti,DCOILWTICO,FRED,WTI Crude Oil,68.45
2018-05-04,wti,DCOILWTICO,FRED,WTI Crude Oil,69.71
2018-05-07,wti,DCOILWTICO,FRED,WTI Crude Oil,70.74
2018-05-08,wti,DCOILWTICO,FRED,WTI Crude Oil,68.83
2018-05-09,wti,DCOILWTICO,FRED,WTI Crude Oil,71.16
2018-05-10,wti,DCOILWTICO,FRED,WTI Crude Oil,71.36
2018-05-11,wti,DCOILWTICO,FRED,WTI Crude Oil,70.69
2018-05-14,wti,DCOILWTICO,FRED,WTI Crude Oil,71.01
2018-05-15,wti,DCOILWTICO,FRED,WTI Crude Oil,71.34
2018-05-16,wti,DCOILWTICO,FRED,WTI Crude Oil,71.43
2018-05-17,wti,DCOILWTICO,FRED,WTI Crude Oil,71.47
2018-05-18,wti,DCOILWTICO,FRED,WTI Crude Oil,71.23
2018-05-21,wti,DCOILWTICO,FRED,WTI Crude Oil,72.26
2018-05-22,wti,DCOILWTICO,FRED,WTI Crude Oil,72.09
2018-05-23,wti,DCOILWTICO,FRED,WTI Crude Oil,71.85
2018-05-24,wti,DCOILWTICO,FRED,WTI Crude Oil,70.77
2018-05-25,wti,DCOILWTICO,FRED,WTI Crude Oil,67.92
2018-05-29,wti,DCOILWTICO,FRED,WTI Crude Oil,66.8
2018-05-30,wti,DCOILWTICO,FRED,WTI Crude Oil,68.24
2018-05-31,wti,DCOILWTICO,FRED,WTI Crude Oil,66.98
